Date,Location,PM10,PM25,O3,NO2,CO,SO2,Warning
20210101,강남구,22.045454545454547,16.272727272727273,0.014727272727272728,0.027136363636363636,0.5227272727272727,0.0039545454545454545,0
20210102,강남구,26.833333333333332,11.833333333333334,0.024874999999999998,0.015375,0.40416666666666673,0.0035833333333333338,0
20210103,강남구,30.291666666666668,13.75,0.022000000000000002,0.018041666666666668,0.4291666666666667,0.003708333333333333,0
20210104,강남구,33.208333333333336,23.75,0.0065,0.03933333333333333,0.5916666666666667,0.003958333333333334,0
20210105,강남구,22.208333333333332,15.833333333333334,0.022041666666666668,0.01983333333333333,0.4166666666666667,0.00325,0
20210106,강남구,20.17391304347826,13.565217391304348,0.01691304347826087,0.026391304347826085,0.45652173913043476,0.003391304347826087,0
20210107,강남구,29.083333333333332,12.958333333333334,0.02279166666666667,0.011874999999999998,0.3875,0.003875,0
20210108,강남구,16.208333333333332,10.625,0.022750000000000003,0.015041666666666667,0.41250000000000003,0.0043749999999999995,0
20210109,강남구,20.625,15.0,0.01966666666666667,0.019916666666666666,0.46249999999999997,0.0047083333333333335,0
20210110,강남구,26.833333333333332,22.166666666666668,0.009,0.034208333333333334,0.5875,0.004125,0
20210111,강남구,37.17391304347826,31.391304347826086,0.004130434782608695,0.044,0.6826086956521739,0.004304347826086957,0
20210112,강남구,52.578947368421055,48.73684210526316,0.002631578947368421,0.047210526315789474,0.7789473684210527,0.0040526315789473685,0
20210113,강남구,84.70833333333333,46.333333333333336,0.007916666666666667,0.04054166666666666,0.7208333333333333,0.003833333333333333,0
20210114,강남구,68.625,31.333333333333332,0.008,0.03995833333333333,0.6708333333333334,0.0036666666666666666,0
20210115,강남구,65.29166666666667,35.791666666666664,0.010291666666666666,0.04041666666666666,0.7041666666666666,0.003708333333333333,0
20210116,강남구,45.916666666666664,36.625,0.021958333333333333,0.017666666666666667,0.5541666666666666,0.0035833333333333338,0
20210117,강남구,17.454545454545453,13.727272727272727,0.023954545454545454,0.016409090909090908,0.4272727272727273,0.0037272727272727275,0
20210118,강남구,30.75,18.708333333333332,0.018666666666666668,0.023749999999999997,0.5125000000000001,0.003375,0
20210119,강남구,28.875,16.75,0.009916666666666666,0.03783333333333334,0.6166666666666667,0.003708333333333333,0
20210120,강남구,35.041666666666664,24.083333333333332,0.0032083333333333334,0.04716666666666666,0.6375,0.003625,0
20210121,강남구,44.458333333333336,32.666666666666664,0.002041666666666667,0.04933333333333333,0.7125,0.003625,0
20210122,강남구,32.86363636363637,29.90909090909091,0.003,0.04090909090909091,0.6363636363636364,0.003090909090909091,0
20210123,강남구,7.875,6.083333333333333,0.02691666666666667,0.017625,0.42500000000000004,0.0030000000000000005,0
20210124,강남구,10.478260869565217,9.173913043478262,0.021739130434782608,0.02582608695652174,0.5173913043478261,0.002826086956521739,0
20210125,강남구,21.608695652173914,16.695652173913043,0.005217391304347826,0.042434782608695654,0.691304347826087,0.0034347826086956524,0
